category_idx,question_id
0,1
0,2
1,3
4,4
4,5
1,6
1,7
2,8
3,9
0,10
0,11
2,12
2,13
2,14
3,15
1,16
1,17
1,18
0,19
0,20
1,21
0,22
0,23
0,24
4,25
1,26
1,27
1,28
2,29
0,30
1,31
1,32
1,33
0,34
1,35
1,36
2,37
2,38
2,39
2,40
0,41
1,42
0,43
1,44
1,45
1,46
1,47
1,48
1,49
0,50
0,51
0,52
1,53
1,54
1,55
1,56
1,57
2,58
2,59
1,60
0,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
5,75
5,76
5,77
5,78
5,79
5,80
1,81
4,82
5,83
5,84
5,85
0,86
0,87
0,88
1,89
1,90
1,91
1,92
1,93
0,94
4,95
4,96
1,97
1,98
1,99
2,100
5,101
5,102
5,103
5,104
